,Run,Object,RA,Dec,Equinox,UT,Airm,Instr,Texp sec,Sky PA,Filters etc.,Slit,Grat,CenwA,Comments,night,date,mjd,RA_deg,Dec_deg,search_group
1289,1603408,137P,11:31:15.14,-02:15:12.7,2000.0,04:35,1.73,1  WFC,120.0,180.0,r,,,,,20220310,20220311,59649.19097222222,172.81308333333334,-2.253527777777778,80.0
1290,1603409,137P,11:31:15.14,-02:15:12.7,2000.0,04:38,1.75,4  WFC,120.0,180.0,r,,,,,20220310,20220311,59649.19305555556,172.81308333333334,-2.253527777777778,80.0
1291,1603410,137P,11:31:15.14,-02:15:12.7,2000.0,04:41,1.77,9  WFC,120.0,180.0,r,,,,,20220310,20220311,59649.19513888889,172.81308333333334,-2.253527777777778,80.0
1292,1603411,137P,11:31:15.14,-02:15:12.7,2000.0,04:44,1.8,5  WFC,120.0,180.0,r,,,,,20220310,20220311,59649.197222222225,172.81308333333334,-2.253527777777778,80.0
1293,1603412,137P,11:31:15.14,-02:15:12.7,2000.0,04:46,1.83,1  WFC,120.0,180.0,r,,,,,20220310,20220311,59649.19861111111,172.81308333333334,-2.253527777777778,80.0
1294,1603413,137P,11:31:15.14,-02:15:12.7,2000.0,04:49,1.85,9  WFC,120.0,180.0,r,,,,,20220310,20220311,59649.200694444444,172.81308333333334,-2.253527777777778,80.0
1295,1603414,137P,11:31:15.14,-02:15:12.7,2000.0,04:52,1.88,8  WFC,120.0,180.0,r,,,,,20220310,20220311,59649.20277777778,172.81308333333334,-2.253527777777778,80.0
1296,1603415,137P,11:31:15.14,-02:15:12.7,2000.0,04:55,1.91,8  WFC,120.0,180.0,r,,,,,20220310,20220311,59649.20486111111,172.81308333333334,-2.253527777777778,80.0
1297,1603416,137P,11:31:15.14,-02:15:12.7,2000.0,04:58,1.95,0  WFC,120.0,180.0,r,,,,,20220310,20220311,59649.20694444444,172.81308333333334,-2.253527777777778,80.0
1298,1603417,C2017K2,18:46:43.20,+11:21:34.7,2000.0,05:03,1.69,7  WFC,60.1,180.0,r,,,,,20220310,20220311,59649.21041666667,281.67999999999995,11.359638888888888,81.0
1299,1603418,C2017K2,18:46:43.26,+11:21:34.8,2000.0,05:06,1.65,5  WFC,299.9,180.0,g,,,,,20220310,20220311,59649.2125,281.68024999999994,11.359666666666666,81.0
1300,1603419,C2017K2,18:46:43.38,+11:21:34.9,2000.0,05:12,1.6,7  WFC,299.9,180.0,r,,,,,20220310,20220311,59649.21666666667,281.68074999999993,11.359694444444443,81.0
1301,1603420,C2017K2,18:46:43.49,+11:21:35.0,2000.0,05:18,1.56,4  WFC,300.0,180.0,i,,,,,20220310,20220311,59649.22083333333,281.6812083333333,11.359722222222222,81.0
1302,1603421,C2017K2,18:46:41.58,+11:21:05.0,2000.0,05:24,1.52,2  WFC,299.9,180.0,g,,,,,20220310,20220311,59649.225,281.67324999999994,11.351388888888888,81.0
1303,1603422,C2017K2,18:46:41.69,+11:21:05.3,2000.0,05:30,1.48,5  WFC,299.9,180.0,r,,,,,20220310,20220311,59649.229166666664,281.67370833333325,11.351472222222222,81.0
